Well,Link_to_PDF_Well_Completion_report
"
PL 415, OER DURHAM RANCH 295, OER DURHAM RANCH 295 ST2, OER DURHAM RANCH 295 ST1, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/4f135687-0203-4b3a-b5a1-810db4fb3a87/resource/geo-doc523898-cr109475/download/%252FReport%25252f109475%25252fDocument%25252f523898%25252fcr_109475_1.pdf
"
PL 195, AUS DURHAM RANCH 285, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/2ca1527d-279b-4da7-9fd1-4fa8dbb43ad5/resource/geo-doc531332-cr101871/download/%252FReport%25252f101871%25252fDocument%25252f531332%25252fcr_101871_1.pdf
"
PL 195, AUS DURHAM RANCH 308, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/410e69c1-3939-4657-aef7-5460d86b8500/resource/geo-doc509149-cr101250/download/%252FReport%25252f101250%25252fDocument%25252f509149%25252fcr_101250_1.pdf
"
PL 417, OER DURHAM RANCH 381V, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/a0169f91-6701-4515-a8da-81fa372248f6/resource/geo-doc682217-cr110915/download/%252FReport%25252f110915%25252fDocument%25252f682217%25252fcr_110915_1.pdf
"
PL 417, OER DURHAM RANCH 381H, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/7ac16f5f-1f46-419c-a08f-696b5f64b8fa/resource/geo-doc683777-cr110914/download/%252FReport%25252f110914%25252fDocument%25252f683777%25252fcr_110914_1.pdf
"
PL 195, OER DURHAM RANCH 393, OER DURHAM RANCH 393 L2, OER DURHAM RANCH 393 L3, OER DURHAM RANCH 393 L1, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/6da8e27f-5eeb-45f5-9c43-0a4a7baa1bf3/resource/geo-doc963859-cr108532/download/%252FReport%25252f108532%25252fDocument%25252f963859%25252fcr_108532_1.pdf
"
PL 195, OER DURHAM RANCH 296 L1 ST3, OER DURHAM RANCH 296 L1 ST1, OER DURHAM RANCH 296 L1 ST5, OER DURHAM RANCH 296 L1 ST4, OER DURHAM RANCH 296 ST1, OER DURHAM RANCH 296, OER DURHAM RANCH 296 L1 ST2, OER DURHAM RANCH 296 L1, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/2b7cdeac-965a-4bcd-949c-5003d87a3aa4/resource/geo-doc521682-cr108958/download/%252FReport%25252f108958%25252fDocument%25252f521682%25252fcr_108958_1.pdf
"
PL 268, OER DURHAM RANCH 876, OER DURHAM RANCH 876 L2, OER DURHAM RANCH 876 L2 ST1, OER DURHAM RANCH 876 L1, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/0aa47b70-f281-4ee6-8ec6-dc6a3e91bc4e/resource/geo-doc963930-cr108811/download/%252FReport%25252f108811%25252fDocument%25252f963930%25252fcr_108811_1.pdf
"
PL 268, OER DURHAM RANCH 170 L1, OER DURHAM RANCH 170 L1 ST2, OER DURHAM RANCH 170, OER DURHAM RANCH 170 L1 ST1, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/5ec83ef6-407a-4e70-ba0e-c57555c4f0a7/resource/geo-doc523242-cr109471/download/%252FReport%25252f109471%25252fDocument%25252f523242%25252fcr_109471_1.pdf
"
PL 203, OER DURHAM RANCH 377 L1 ST1, OER DURHAM RANCH 377 L1, OER DURHAM RANCH 377 L2, OER DURHAM RANCH 377, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/4827f3e4-b9da-4ed7-af81-74f1f14eda5a/resource/geo-doc522438-cr109129/download/%252FReport%25252f109129%25252fDocument%25252f522438%25252fcr_109129_1.pdf
"
PL 203, OER DURHAM RANCH 212, OER DURHAM RANCH 212 L2, OER DURHAM RANCH 212 L1, OER DURHAM RANCH 212 L1 ST1, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/c5816b56-a8b9-4cf0-a9d9-5d2f515d0a8b/resource/geo-doc519713-cr106986/download/%252FReport%25252f106986%25252fDocument%25252f519713%25252fcr_106986_1.pdf
"
PL 268, OER DURHAM RANCH 840 L2, OER DURHAM RANCH 840 L1, OER DURHAM RANCH 840, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/7944c141-a80b-42d2-82aa-df98565b16e0/resource/geo-doc523303-cr109386/download/%252FReport%25252f109386%25252fDocument%25252f523303%25252fcr_109386_1.pdf
"
PL 268, OER DURHAM RANCH 846 L2, OER DURHAM RANCH 846, OER DURHAM RANCH 846 L1, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/6054fd1b-9fd3-44b5-a073-7313114430d5/resource/geo-doc522943-cr109477/download/%252FReport%25252f109477%25252fDocument%25252f522943%25252fcr_109477_1.pdf
"
PL 268, OER DURHAM RANCH 169 L2, OER DURHAM RANCH 169 L1, OER DURHAM RANCH 169, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/49736a3b-319a-4216-b9a7-b6ea88db191b/resource/geo-doc523024-cr109169/download/%252FReport%25252f109169%25252fDocument%25252f523024%25252fcr_109169_1.pdf
"
PL 203, OER DURHAM RANCH 114 L1, OER DURHAM RANCH 114, OER DURHAM RANCH 114 L2, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/d04caaee-9c97-41f5-9009-2399a75b1d8f/resource/geo-doc523219-cr109260/download/%252FReport%25252f109260%25252fDocument%25252f523219%25252fcr_109260_1.pdf
"
PL 203, OER DURHAM RANCH 874, OER DURHAM RANCH 874 L2, OER DURHAM RANCH 874 L1, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/89337d21-55ff-4c66-b933-5647ba3ec7b2/resource/geo-doc521975-cr109185/download/%252FReport%25252f109185%25252fDocument%25252f521975%25252fcr_109185_1.pdf
"
PL 195, OER DURHAM RANCH 277 L1, OER DURHAM RANCH 277, OER DURHAM RANCH 277 L2, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/c0b42ddf-3d15-4a76-90a8-7b9a5421294a/resource/geo-doc963839-cr107911/download/%252FReport%25252f107911%25252fDocument%25252f963839%25252fcr_107911_1.pdf
"
PL 418, OER DURHAM RANCH 814 ST1, OER DURHAM RANCH 814, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/efe82daf-7f2b-411a-a55b-fe4c9b376c68/resource/geo-doc519737-cr106717/download/%252FReport%25252f106717%25252fDocument%25252f519737%25252fcr_106717_1.pdf
"
PL 418, OER DURHAM RANCH 809, OER DURHAM RANCH 809 ST1, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/eb243c3a-bf92-4ff4-ba27-e39d9a0f6fb8/resource/geo-doc518241-cr106712/download/%252FReport%25252f106712%25252fDocument%25252f518241%25252fcr_106712_1.pdf
"
PL 418, OER DURHAM RANCH 805 ST1, OER DURHAM RANCH 805, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/a27c2fed-dbf5-4e06-af9a-e21b736bdfcf/resource/geo-doc519084-cr106711/download/%252FReport%25252f106711%25252fDocument%25252f519084%25252fcr_106711_1.pdf
"
PL 418, OER DURHAM RANCH 871 ST1, OER DURHAM RANCH 871, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/415ef6e9-c482-41d2-abba-3a6cb0398215/resource/geo-doc523307-cr109330/download/%252FReport%25252f109330%25252fDocument%25252f523307%25252fcr_109330_1.pdf
"
PL 268, OER DURHAM RANCH 184, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/f5aaeb2c-10ea-46e6-b945-79ad7fb71a79/resource/geo-doc520730-cr108057/download/%252FReport%25252f108057%25252fDocument%25252f520730%25252fcr_108057_1.pdf
"
PL 268, OER DURHAM RANCH 188, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/90ce6689-065a-41d6-8f10-f5aea54b0e0d/resource/geo-doc521804-cr108308/download/%252FReport%25252f108308%25252fDocument%25252f521804%25252fcr_108308_1.pdf
"
PL 195, OCA DURHAM RANCH 28, WELL COMPLETION REPORT
",https://gsq-horizon.s3-ap-southeast-2.amazonaws.com/QDEX/39976/cr_39976_1.pdf
"
PL 203, AUS DURHAM RANCH 249, WELL COMPLETION REPORT
",https://gsq-horizon.s3-ap-southeast-2.amazonaws.com/QDEX/69589/cr_69589_1.pdf
"
PL 203, OER DURHAM RANCH 211, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/cff9907c-2371-448b-9649-0bcbfc8f2ca8/resource/geo-doc509710-cr101239/download/%252FReport%25252f101239%25252fDocument%25252f509710%25252fcr_101239_1.pdf
"
PL 203, OER DURHAM RANCH 823, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/1240cfeb-8d84-4adf-8455-50cbe8969404/resource/geo-doc512726-cr103136/download/%252FReport%25252f103136%25252fDocument%25252f512726%25252fcr_103136_3.pdf
"
PL 418, OER DURHAM RANCH 806, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/87c44726-8105-4c5e-b652-e52bf5f2e61d/resource/geo-doc513182-cr103173/download/%252FReport%25252f103173%25252fDocument%25252f513182%25252fcr_103173_1.pdf
"
PL 195, OER DURHAM RANCH 307, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/57b1fd77-5555-4848-90c2-c168f27eb057/resource/geo-doc519072-cr106704/download/%252FReport%25252f106704%25252fDocument%25252f519072%25252fcr_106704_1.pdf
"
PL 203, OER DURHAM RANCH 86, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/adb97c94-7bff-4739-941b-87343eee14da/resource/geo-doc520628-cr108058/download/%252FReport%25252f108058%25252fDocument%25252f520628%25252fcr_108058_1.pdf
